,image,Team,team_photo,year,draft_pick,yprr_p,yprr,tprr_p,tprr,name,open_p,open,catch_p,catch,yac_p,yac,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,draft_age,breakoutagep,breakout_age,hs,best_ppg ,adp,years_removed
133,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4429033.png,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2024,none,0.352,2.22,0.014,0.18,Jermaine Burton,0.225,43,0.937,86,0.056,54,0.19,,,,,,,,,,,,,,,,,22.8,0.094,22.1,4,,,
125,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4575665.png,Arizona,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/1200px-Arizona_Wildcats_logo.svg.png,2024,none,0.563,2.52,0.803,0.28,Jacob Cowing,0.648,57,0.183,61,0.5,66,0.088,,,,,,,,,,,,,,,,,23.1,0.928,18.6,5,,,
130,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4597703.png,Colorado State,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/1200px-Colorado_State_Rams_logo.svg.png,2024,none,0.493,2.39,0.521,0.25,Tory Horton,0.268,44,0.62,75,0.62,69,,,,,,,,,,,,,,,,,,,#N/A,,4,,,
126,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4686104.png,Florida State,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Florida_State_Seminoles_logo.svg/1200px-Florida_State_Seminoles_logo.svg.png,2024,none,0.563,2.52,0.62,0.26,Johnny Wilson,0.824,64,0.134,59,0.176,58,0.139,,,,,,,,,,,,,,,,,22.9,0.072,22.2,4,,,
141,,Florida State,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Florida_State_Seminoles_logo.svg/1200px-Florida_State_Seminoles_logo.svg.png,2024,none,0.099,1.87,0.31,0.23,Keon Coleman,0.155,40,0.296,65,0.345,63,0.861,,,,,,,,,,,,,,,,,21,0.493,20.3,3,,,
123,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4612826.png&w=350&h=254,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,2024,none,0.627,2.57,0.401,0.24,Ladd McConkey,0.268,44,0.937,86,0.775,72,0.299,,,,,,,,,,,,,,,,,22.4,0.138,21.7,4,,,
127,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428678.png,Louisville,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/1200px-Louisville_Cardinals_logo.svg.png,2024,none,0.563,2.52,0.521,0.25,Jamari Thrash,0.521,53,0.507,71,0.5,66,0.015,,,,,,,,,,,,,,,,,23.4,0.029,22.7,5,,,
119,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4595348.png,LSU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,2024,none,0.789,2.87,0.62,0.26,Malik Nabers,0.711,59,0.683,76,0.62,69,0.927,,,,,,,,,,,,,,,,,20.8,0.507,20.1,3,,,
140,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4432773.png,LSU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,2024,none,0.134,1.93,0.014,0.18,Brian Thomas Jr.,0.028,28,0.937,86,0.592,68,0.584,,,,,,,,,,,,,,,,,21.6,0.594,19.9,3,,,
131,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4431492.png&w=350&h=254,Michigan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Michigan_Wolverines_logo.svg/1200px-Michigan_Wolverines_logo.svg.png,2024,none,0.43,2.31,0.239,0.22,Roman Wilson,0.415,48,0.718,77,0.134,57,0.19,,,,,,,,,,,,,,,,,22.8,0.094,22.1,4,,,
128,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4696882.png&w=350&h=254,North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/1200px-North_Carolina_Tar_Heels_logo.svg.png,2024,none,0.563,2.52,0.401,0.24,Devontez Walker,0.592,56,0.683,76,0.042,53,0.19,,,,,,,,,,,,,,,,,22.8,0.094,22.1,4,,,
118,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4432708.png&w=350&h=254,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2024,none,0.852,2.98,0.809,0.28,Marvin Harrison Jr.,0.937,71,0.43,69,0.289,61,0.584,,,,,,,,,,,,,,,,,21.6,0.551,20.1,3,,,
121,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4567750.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2024,none,0.69,2.66,0.521,0.25,Emeka Egbuka,0.592,56,0.472,70,0.803,73,0.62,,,,,,,,,,,,,,,,,21.5,0.594,19.9,3,,,
124,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4686612.png&w=350&h=254,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2024,none,0.599,2.54,0.521,0.25,Tre Harris,0.521,53,0.507,71,0.521,67,,,,,,,,,,,,,,,,,,,#N/A,,4,,,
135,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427225.png&w=350&h=254,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2024,none,0.296,2.18,0.521,0.25,Zakhari Franklin,0.19,42,0.507,71,0.5,66,0.015,,,,,,,,,,,,,,,,,23.6,0.029,22.9,5,,,
120,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4608810.png,Oregon,https://upload.wikimedia.org/wikipedia/commons/f/f8/Oregon_Ducks_logo.svg,2024,none,0.761,2.83,0.901,0.3,Tez Johnson,0.521,53,0.43,69,0.908,79,,,,,,,,,,,,,,,,,,,#N/A,,4,,,
