,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Team,draft_age,year,draft_pick,,drop,yacpcnum,yacpc,adotnum,adot,tpmtnum,tpmt,ccnum,cc,mannum,man,pffnum,pff,yprr_p,yprr,,tprr_p,tprr,open_p,open,catch_p,name,catch,yac,yac_p,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,breakoutagep,breakout_age,best_ppg ,hs,freshr,freshrp,freshy,freshyp,fresht,freshtp,sophr,sophrp,sophy,sophyp,sopht,sophtp,junr,junrp,juny,junyp,junt,juntp,senr,senrp,seny,senyp,sent,sentp,senrr,senrrp,senrry,senrryp,senrrt,senrrtp,best_ppgp,years_removed,adp,adpp
3,https://www.playerprofiler.com/wp-content/uploads/2022/03/Ceedee-Lamb.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/795px-Oklahoma_Sooners_logo.svg.png,Oklahoma,21,2020,17,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.873,3.05,,0.31,0.23,0.589,91,0.532,CeeDee Lamb,87,100,0.95,0.876,0.707,6015,0.461,198,0.313,4.5,0.221,34.5,0.398,124,,-,,-,0.388,7.44,0.71,19.4,17.18,3,16,0.859,17.2,0.824,15.8,0.761,23.7,0.782,25.6,0.69,25.6,0.634,25.5,0.695,34.3,0.823,41.4,0.823,,0,,0,,0,,,,,,,1,"3,4",8,0.862
1,https://static.www.nfl.com/image/private/t_headshot_desktop/league/ciwaktyqewczcquks4wy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/1200px-South_Carolina_Gamecocks_logo.svg.png,South Carolina,23.2,2019,36,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.563,2.52,,0.732,0.27,0.404,86,0.688,DeeboSamuel,92,97,0.816,0.088,0.31,5112,0.817,214,0.375,4.48,0.758,39,0.258,122,0.452,7.03,0.787,4.14,0.447,7.91,0.333,20.9,17.13,5,0,0,0,0,0,0,15.1,0.437,15.5,0.408,14.3,0.38,30.9,0.851,36.7,0.879,11.1,0.177,26.6,0.73,34.4,0.798,72.4,0.989,24.7,0.483,26.9,0.379,36.7,0.759,0.991,3-5,12,0.802
2,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4262921.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,LSU,20.8,2020,22,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.627,2.57,,0.31,0.23,0.83,98,0.816,Justin Jefferson,96,95,0.738,0.964,0.647,6012,0.53,202,0.573,4.43,0.632,37.5,0.613,126,,-,,-,0.903,9.69,0.667,19.6,17.09,3,0,0,0,0,0,0,24.1,0.796,29.5,0.81,35.3,0.831,26.1,0.73,25.6,0.539,29.5,0.574,,0,,0,,0,,,,,,,0.983,"2,3",11,0.819
5,https://nfldraftbuzz.com/Content/PlayerHeadShots/Ja'Marr-Chase-WR-LSU.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,LSU,21.1,2021,5,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.901,3.12,,0.31,0.23,0.794,97,0.816,Ja'Marr Chase,96,98,0.858,0.818,0.466,6003,0.496,201,0.885,4.34,0.947,41,0.882,132,0.575,6.96,0.987,3.99,0.951,9.82,0.667,19.5,15.43,3,13.4,0.768,13.7,0.746,23.1,0.852,21.1,0.704,31.7,0.845,34.8,0.817,,0,,0,,0,,0,,0,,0,,,,,,,0.974,"1,2",3,1
6,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Amon-Ra-StBrown-WR-USC.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,USC,21.4,2021,112,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.254,2.11,,0.31,0.23,0.262,79,0.617,Amon-Ra St. Brown,91,75,0.284,0.723,0.353,5114,0.452,197,0.031,4.61,0.705,38.5,0.667,127,0.699,6.9,0.44,4.26,0.34,7.12,0.833,18.9,15.19,3,26.9,0.951,27.5,0.944,18.2,0.796,21.1,0.704,23.9,0.641,17.1,0.486,15.5,0.277,24.9,0.482,41.2,0.816,,0,,0,,0,,,,,,,0.966,"2,3",19,0.595
4,https://cdn-headshots.theathletic.com/nfl/21042.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Ole Miss,21.8,2019,51,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.887,3.1,,0.62,0.26,0.794,97,0.887,A.J. Brown,98,100,0.95,0.533,0.483,6004,0.939,226,0.333,4.49,0.516,36.5,0.118,120,,-,,-,0.612,8.59,0.507,20.2,14.91,3,10.9,0.697,11.9,0.697,7.9,0.563,29.1,0.894,34.7,0.915,43.5,0.951,30.1,0.83,31.8,0.73,28.6,0.532,,0,,0,,0,,,,,,,0.957,"4,5",9,0.862
8,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Puka-Nacua-WR-Washington.png,https://upload.wikimedia.org/wikipedia/commons/a/a7/BYU_Stretch_Y_Logo.png,BYU,21.6,2023,177,,0.574,7.4,0.844,12,0.516,8,0.295,50,0.5,75,0.469,90.1,0.906,0.965,3.45,,0.93,0.31,0.738,95,0.262,Puka Nacua,69,80,0.319,0.62,0.716,6016,0.73,210,0.115,4.56,0.074,33,,-,0.041,7.32,0.213,4.36,0.107,5.17,0.754,19.3,14.47,4,4.3,0.444,8.6,0.585,13.9,0.711,17.6,0.577,22.2,0.563,33.3,0.782,18.4,0.426,25.4,0.525,25,0.44,26.9,0.742,27.8,0.584,25,0.337,,,,,,,0.948,1,43,0.172
7,https://www.playerprofiler.com/wp-content/uploads/2014/05/calvin-ridley-stats-fantasy-rankings.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,23.3,2018,26,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.739,2.78,,0.803,0.28,0.83,98,0.404,Calvin Ridley,79,60,0.177,0.088,0.483,6004,0.339,189,0.573,4.43,0.032,31,0.011,110,0.712,6.88,0.16,4.41,0.097,5.12,0.37,20.7,14.4,3,29.6,0.993,30.7,0.979,31.8,0.944,27.2,0.852,27.7,0.761,26.9,0.669,30.9,0.851,35.6,0.851,17.9,0.277,,0,,0,,0,,,,,,,0.94,"2,3",13,0.767
10,https://www.playerprofiler.com/wp-content/uploads/2023/01/nathaniel-dell-advanced-stats.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Houston_Cougars_primary_logo.svg/1200px-Houston_Cougars_primary_logo.svg.png,Houston,23.2,2023,69,,0.311,4.9,0.234,11.6,0.438,5.68,0.508,53.8,0.625,89.6,0.969,84.4,0.672,0.627,2.57,,0.732,0.27,0.738,95,0.454,Nathaniel Dell,82,93,0.681,0.088,0.034,5083,0.009,165,0.375,4.49,,-,0.172,121,,-,,-,0.155,5.82,0.406,20.6,13.42,5,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0.319,20.1,0.305,20,0.362,29.3,0.809,35,0.82,37.5,0.742,32.3,0.931,34.2,0.759,42.5,0.793,0.931,1,33,0.302
9,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4047650.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Ole Miss,21.3,2019,64,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.12,1.9,,0.014,0.18,0.142,66,0.376,D.K. Metcalf,78,89,0.553,0.774,0.871,6033,0.974,228,0.896,4.33,0.895,40.5,0.914,134,0.014,7.38,0.067,4.5,0.893,9.66,0.652,19.7,13.24,3,0.9,0.282,1.8,0.303,43.5,0.986,13.9,0.415,16.4,0.437,25,0.613,15.8,0.284,23.5,0.426,39.7,0.787,,0,,0,,0,,,,,,,0.922,"2,3",8,0.862
